2010/11,,,,,,2011/12,,,,,,2012/13,,,,,,2013/14,,,,,,2014/15,,,,,,2015/16,,,,,,2016/17,,,,,,2017/18,,,,,,2018/19,,,,,,2019/20,,,
Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Rank,Institutions,City,State,Total Study Abroad Students,,Institutions,City,State,Total Study Abroad Students
1,Elon University,Elon College,NC,"1,170",,1,Elon University,Elon College,NC,"1,094",,1,Elon University,Elon,NC,"1,254",,1,Elon University,Elon,NC,"1,346",,1,Elon University,Elon,NC,"1,434",,1,Elon University,Elon,NC,"1,634",,1,Elon University,Elon,NC,"1,654",,1,James Madison University,Harrisonburg,VA,"1,322",,1,James Madison University,Harrisonburg,VA,"1,392",,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,863
2,James Madison University,Harrisonburg,VA,"1,101",,2,James Madison University,Harrisonburg,VA,"1,071",,2,James Madison University,Harrisonburg,VA,"1,102",,2,Villanova University,Villanova,PA,"1,274",,2,James Madison University,Harrisonburg,VA,"1,161",,2,James Madison University,Harrisonburg,VA,"1,278",,2,James Madison University,Harrisonburg,VA,"1,284",,2,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,"1,231",,2,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,"1,216",,Marist College,Poughkeepsie,NY,581
3,Appalachian State University,Boone,NC,886,,3,Villanova University,Villanova,PA,911,,3,Arcadia University,Glenside,PA,964,,3,James Madison University,Harrisonburg,VA,"1,161",,3,Appalachian State University,Boone,NC,970,,3,College of Charleston,Charleston,SC,"1,022",,3,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,"1,121",,3,California State University - Long Beach,Long Beach,CA,"1,064",,3,Appalachian State University,Boone,NC,940,,Loyola University Maryland,Baltimore,MD,444
4,Villanova University,Villanova,PA,866,,4,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,858,,4,Appalachian State University,Boone,NC,942,,4,Appalachian State University,Boone,NC,"1,010",,4,College of Charleston,Charleston,SC,948,,4,California State University - Long Beach,Long Beach,CA,970,,4,California State University - Long Beach,Long Beach,CA,"1,088",,4,Appalachian State University,Boone,NC,909,,4,College of Charleston,Charleston,SC,935,,Providence College,Providence,RI,432
5,Arcadia University,Glenside,PA,808,,5,Grand Valley State University,Allendale,MI,825,,5,Villanova University,Villanova,PA,887,,5,Arcadia University,Glenside,PA,948,,5,Arcadia University,Glenside,PA,939,,5,Appalachian State University,Boone,NC,947,,5,University of North Carolina - Wilmington,Wilmington,NC,985,,5,College of Charleston,Charleston,SC,904,,5,California State University - Long Beach,Long Beach,CA,886,,Saint Mary's College of California,Moraga,CA,413
6,Loyola University Maryland,Baltimore,MD,757,,6,Appalachian State University,Boone,NC,809,,6,College of Charleston,Charleston,SC,781,,6,College of Charleston,Charleston,SC,930,,6,University of North Carolina - Wilmington,Wilmington,NC,897,,6,University of North Carolina - Wilmington,Wilmington,NC,944,,6,Appalachian State University,Boone,NC,972,,6,Arcadia University,Glenside,PA,859,,6,Grand Valley State University,Allendale,MI,752,,California State University - Long Beach,Long Beach,CA,409
7,Cal Poly - San Luis Obispo,San Luis Obispo,CA,738,,7,Kennesaw State University,Kennesaw,GA,787,,7,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,769,,7,University of North Carolina - Wilmington,Wilmington,NC,822,,7,California State University - Long Beach,Long Beach,CA,829,,7,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,929,,7,College of Charleston,Charleston,SC,942,,7,Grand Valley State University,Allendale,MI,720,,7,Arcadia University,Glenside,PA,717,,San Francisco State University,San Francisco,CA,409
8,Kennesaw State University,Kennesaw,GA,734,,8,Arcadia University,Glenside,PA,780,,8,Kennesaw State University,Kennesaw,GA,766,,8,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,813,,8,California Polytechnic State University - San Luis Obispo,San Luis Obispo,CA,782,,8,Arcadia University,Glenside,PA,886,,8,Quinnipiac University,Hamden,CT,914,,8,SUNY Maritime College,Bronx,NY,713,,8,Lee University,Cleveland,TN,670,,Ithaca College,Ithaca,NY,388
9,California State University - Long Beach,Long Beach,CA,728,,9,University of North Carolina - Wilmington,Wilmington,NC,766,,9,University of North Carolina - Wilmington,Wilmington,NC,762,,9,California State University - Long Beach,Long Beach,CA,767,,9,Belmont University,Nashville,TN,678,,9,Grand Valley State University,Allendale,MI,842,,9,Belmont University,Nashville,TN,855,,9,Marist College,Poughkeepsie,NY,627,,9,Marist College,Poughkeepsie,NY,633,,Calvin University,Grand Rapids,MI,380
10,College of Charleston,Charleston,SC,664,,10,College of Charleston,Charleston,SC,717,,10,Grand Valley State University,Allendale,MI,721,,9,Kennesaw State University,Kennesaw,GA,767,,10,Grand Valley State University,Allendale,MI,658,,10,Chapman University,Orange,CA,768,,10,Arcadia University,Glenside,PA,836,,10,California State University - Fullerton,Fullerton,CA,626,,10,Loyola University Maryland,Baltimore,MD,604,,Bentley University,Waltham,MA,354
10,Lee University,Cleveland,TN,664,,11,California State University - Long Beach,Long Beach,CA,694,,11,California State University - Long Beach,Long Beach,CA,684,,11,Grand Valley State University,Allendale,MI,753,,11,Chapman University,Orange,CA,650,,11,Belmont University,Nashville,TN,716,,11,Grand Valley State University,Allendale,MI,801,,11,Rollins College,Winter Park,FL,560,,11,Butler University,Indianapolis,IN,581,,Bryant University,Smithfield,RI,338
12,Loyola Marymount University,Los Angeles,CA,659,,12,Lee University,Cleveland,TN,629,,12,Loyola University Maryland,Baltimore,MD,672,,12,Chapman University,Orange,CA,661,,12,Loyola Marymount University,Los Angeles,CA,639,,12,Loyola Marymount University,Los Angeles,CA,673,,12,University of North Florida,Jacksonville,FL,717,,12,Lee University,Cleveland,TN,546,,12,Western Washington University,Bellingham,WA,577,,College of Charleston,Charleston,SC,323
13,Grand Valley State University,Allendale,MI,626,,13,Loyola Marymount University,Los Angeles,CA,612,,13,Lee University,Cleveland,TN,646,,13,Lee University,Cleveland,TN,656,,13,Loyola University Maryland,Baltimore,MD,603,,13,Loyola University Maryland,Baltimore,MD,657,,13,Gonzaga University,Spokane,WA,693,,13,Calvin College,Grand Rapids,MI,541,,13,Fairfield University,Fairfield,CT,562,,Appalachian State University,Boone,NC,311
14,University of North Carolina - Wilmington,Wilmington,NC,613,,14,Gonzaga University,Spokane,WA,609,,14,Loyola Marymount University,Los Angeles,CA,630,,14,Hamline University,Saint Paul,MN,647,,14,Hamline University,Saint Paul,MN,594,,14,Gonzaga University,Spokane,WA,654,,14,Loyola Marymount University,Los Angeles,CA,689,,14,West Chester University of Pennsylvania,West Chester,PA,536,,14,Bentley University,Waltham,MA,538,,Fairfield University,Fairfield,CT,307
15,University of Northern Iowa,Cedar Falls,IA,564,,15,Hamline University,Saint Paul,MN,601,,15,Chapman University,Orange,CA,620,,15,Loyola University Maryland,Baltimore,MD,631,,15,Gonzaga University,Spokane,WA,591,,15,University of North Florida,Jacksonville,FL,640,,15,Marist College,Poughkeepsie,NY,652,,15,Butler University,Indianapolis,IN,533,,15,California State University - Fullerton,Fullerton,CA,532,,James Madison University,Harrisonburg,VA,286
16,Hamline University,Saint Paul,MN,546,,16,Loyola University Maryland,Baltimore,MD,596,,16,Hamline University,Saint Paul,MN,596,,16,Loyola Marymount University,Los Angeles,CA,600,,16,Marist College,Poughkeepsie,NY,586,,16,Santa Clara University,Santa Clara,CA,634,,16,Chapman University,Orange,CA,597,,16,Western Washington University,Bellingham,WA,526,,16,Providence College,Providence,RI,521,,Arcadia University,Glenside,PA,274
17,Gonzaga University,Spokane,WA,537,,17,Chapman University,Orange,CA,566,,17,Gonzaga University,Spokane,WA,588,,17,Gonzaga University,Spokane,WA,596,,17,University of North Florida,Jacksonville,FL,578,,17,Lee University,Cleveland,TN,574,,17,Santa Clara University,Santa Clara,CA,586,,17,University of Wisconsin - Eau Claire,Eau Claire,WI,515,,17,Slippery Rock University of Pennsylvania,Slippery Rock,PA,520,,Western Washington University,Bellingham,WA,274
18,University of Redlands,Redlands,CA,526,,18,Marist College,Poughkeepsie,NY,551,,18,Central Connecticut State University,New Britain,CT,583,,18,Belmont University,Nashville,TN,570,,18,Lee University,Cleveland,TN,549,,18,Western Washington University,Bellingham,WA,565,,18,Butler University,Indianapolis,IN,573,,18,SUNY Fashion Institute of Technology,New York,NY,510,,18,University of Wisconsin - Eau Claire,Eau Claire,WI,517,,Pacific Lutheran University,Tacoma,WA,269
19,San Francisco State University,San Francisco,CA,517,,19,University of North Florida,Jacksonville,FL,550,,18,Marist College,Poughkeepsie,NY,583,,19,Western Kentucky University,Bowling Green,KY,558,,19,Fairfield University,Fairfield,CT,544,,19,Marist College,Poughkeepsie,NY,564,,19,Lee University,Cleveland,TN,568,,19,Loyola University Maryland,Baltimore,MD,499,,19,San Jose State University,San Jose,CA,507,,CUNY Baruch College,New York,NY,260
20,Johnson and Wales University,Providence,RI,512,,20,Bentley University,Waltham,MA,535,,20,Suffolk University,Boston,MA,564,,20,Quinnipiac University,Hamden,CT,552,,20,Western Kentucky University,Bowling Green,KY,533,,20,Bentley University,Waltham,MA,544,,20,Western Washington University,Bellingham,WA,566,,20,Fairfield University,Fairfield,CT,496,,20,SUNY Fashion Institute of Technology,New York,NY,500,,Endicott College,Beverly,MA,254