,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Undergraduate,85.6,86.2,86.4,87.0,87.6,87.7,87.9,87.7,88.0,90.6
     Associate's Students,0.2,1.1,1.1,1.7,1.8,1.7,1.7,1.7,1.9,0.8
     Freshman,3.3,3.3,3.8,3.9,3.9,3.6,4.0,4.2,4.1,2.7
     Sophomore,12.6,13.0,13.7,13.1,13.1,12.7,13.2,12.8,13.2,12.3
     Junior,35.8,36.0,34.7,33.9,33.1,32.9,33.0,33.0,33.4,42.7
     Senior,23.4,24.4,24.7,25.3,26.4,27.7,27.4,28.2,29.4,27.0
"     Bachelor's, Unspecified",10.3,8.4,8.4,9.1,9.3,9.1,8.6,7.8,6.2,5.1
Graduate,13.5,13.5,13.5,12.7,12.1,12.1,11.9,12.1,11.6,9.3
     Master's Students,8.5,8.3,8.4,7.6,7.4,7.0,7.3,7.8,7.4,5.4
"     Graduate, Professional",2.3,2.6,2.3,2.0,1.9,2.1,2.0,0.8,0.7,1.6
     Doctoral Students,0.6,0.7,0.8,0.7,0.7,0.7,0.7,1.8,1.7,0.6
"     Graduate, Unspecified",2.1,1.9,2.0,2.4,2.1,2.3,1.9,1.7,1.8,1.7
Other Academic Level,0.9,0.3,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.1
Women,64.4,64.8,65.3,65.3,66.6,66.5,67.3,67.0,67.3,67.4
Men,35.6,35.2,34.7,34.7,33.4,33.5,32.7,33.0,32.7,32.6
White,77.8,76.4,76.3,74.3,72.9,71.6,70.8,70.0,68.7,70.0
Hispanic or Latino(a),6.9,7.6,7.6,8.3,8.8,9.7,10.2,10.6,10.9,10.6
"Asian, Native Hawaiian or Other Pacific Islander",7.9,7.7,7.3,7.7,8.1,8.4,8.2,8.4,8.9,8.6
Black or African-American,4.8,5.3,5.3,5.6,5.6,5.9,6.1,6.1,6.4,5.5
Multiracial,2.1,2.5,3.0,3.6,4.1,3.9,4.3,4.4,4.7,4.8
American Indian or Alaska Native,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.5
TOTAL,"273,996","283,332","289,408","304,467","313,415","325,339","332,727","341,751","347,099","162,633"